date,col_mwatt
2023-05-22,140.0
2023-05-21,140.0
2023-05-20,140.0
2023-05-19,140.0
2023-05-18,140.0
2023-05-17,140.0
2023-05-16,140.0
2023-05-15,140.0
2023-05-14,140.0
2023-05-13,140.0
2023-05-12,140.0
2023-05-11,140.0
2023-05-10,140.0
2023-05-09,140.0
2023-05-08,140.0
2023-05-07,140.0
2023-05-06,140.0
2023-05-05,140.0
2023-05-04,140.0
2023-05-03,140.0
2023-05-02,140.0
2023-05-01,140.0
2023-04-30,140.0
2023-04-29,140.0
2023-04-28,140.0
2023-04-27,140.0
2023-04-26,140.0
2023-04-25,140.0
2023-04-24,140.0
2023-04-23,140.0
2023-04-22,140.0
2023-04-21,140.0
2023-04-20,140.0
2023-04-19,130.0
2023-04-18,130.0
2023-04-17,130.0
2023-04-16,130.0
2023-04-15,130.0
2023-04-14,130.0
2023-04-13,130.0
2023-04-12,130.0
2023-04-11,130.0
2023-04-10,130.0
2023-04-09,130.0
2023-04-08,130.0
2023-04-07,130.0
2023-04-06,130.0
2023-04-05,130.0
2023-04-04,130.0
2023-04-03,130.0
2023-04-02,130.0
2023-04-01,130.0
2023-03-31,130.0
2023-03-30,130.0
2023-03-29,130.0
2023-03-28,130.0
2023-03-27,130.0
2023-03-26,130.0
2023-03-25,130.0
2023-03-24,120.0
2023-03-23,120.0
2023-03-22,120.0
2023-03-21,120.0
2023-03-20,120.0
2023-03-19,120.0
2023-03-18,120.0
2023-03-17,120.0
2023-03-16,100.0
2023-03-15,100.0
2023-03-14,100.0
2023-03-13,100.0
2023-03-12,100.0
2023-03-11,100.0
2023-03-10,100.0
2023-03-09,100.0
2023-03-08,100.0
2023-03-07,100.0
2023-03-06,100.0
2023-03-05,100.0
2023-03-04,100.0
2023-03-03,100.0
2023-03-02,100.0
2023-03-01,100.0
2023-02-28,100.0
2023-02-27,100.0
2023-02-26,100.0
2023-02-25,100.0
2023-02-24,100.0
2023-02-23,100.0
2023-02-22,100.0
2023-02-21,100.0
2023-02-20,100.0
2023-02-19,100.0
2023-02-18,100.0
2023-02-17,100.0
2023-02-16,100.0
2023-02-15,80.0
2023-02-14,80.0
2023-02-13,80.0
2023-02-12,80.0
2023-02-11,80.0
2023-02-10,80.0
2023-02-09,80.0
2023-02-08,80.0
2023-02-07,80.0
2023-02-06,80.0
2023-02-05,80.0
2023-02-04,80.0
2023-02-03,80.0
2023-02-02,80.0
2023-02-01,80.0
2023-01-31,80.0
2023-01-30,80.0
2023-01-29,80.0
2023-01-28,80.0
2023-01-27,80.0
2023-01-26,80.0
2023-01-25,80.0
2023-01-24,80.0
2023-01-23,80.0
2023-01-22,80.0
2023-01-21,80.0
2023-01-20,80.0
2023-01-19,80.0
2023-01-18,80.0
2023-01-17,80.0
2023-01-16,80.0
2023-01-15,80.0
2023-01-14,80.0
2023-01-13,80.0
2023-01-12,80.0
2023-01-11,80.0
2023-01-10,80.0
2023-01-09,80.0
2023-01-08,80.0
2023-01-07,80.0
2023-01-06,80.0
2023-01-05,80.0
2023-01-04,80.0
2023-01-03,80.0
2023-01-02,80.0
2023-01-01,80.0
2022-12-31,80.0
2022-12-30,80.0
2022-12-29,80.0
2022-12-28,80.0
2022-12-27,80.0
2022-12-26,80.0
2022-12-25,80.0
2022-12-24,80.0
2022-12-23,80.0
2022-12-22,80.0
2022-12-21,80.0
2022-12-20,80.0
2022-12-19,80.0
2022-12-18,80.0
2022-12-17,80.0
2022-12-16,80.0
2022-12-15,80.0
2022-12-14,80.0
2022-12-13,80.0
2022-12-12,80.0
2022-12-11,80.0
2022-12-10,80.0
2022-12-09,80.0
2022-12-08,80.0
2022-12-07,80.0
2022-12-06,80.0
2022-12-05,80.0
2022-12-04,80.0
2022-12-03,80.0
2022-12-02,80.0
2022-12-01,80.0
2022-11-30,110.0
2022-11-29,110.0
2022-11-28,110.0
2022-11-27,110.0
2022-11-26,110.0
2022-11-25,110.0
2022-11-24,110.0
2022-11-23,110.0
2022-11-22,110.0
2022-11-21,110.0
2022-11-20,110.0
2022-11-19,110.0
2022-11-18,110.0
2022-11-17,110.0
2022-11-16,110.0
2022-11-15,110.0
2022-11-14,110.0
2022-11-13,110.0
2022-11-12,110.0
2022-11-11,110.0
2022-11-10,110.0
2022-11-09,110.0
2022-11-08,110.0
2022-11-07,110.0
2022-11-06,110.0
2022-11-05,110.0
2022-11-04,110.0
2022-11-03,110.0
2022-11-02,110.0
2022-11-01,110.0
2022-10-31,110.0
2022-10-30,110.0
2022-10-29,110.0
2022-10-28,110.0
2022-10-27,110.0
2022-10-26,110.0
2022-10-25,110.0
2022-10-24,110.0
2022-10-23,110.0
2022-10-22,110.0
2022-10-21,110.0
2022-10-20,110.0
2022-10-19,110.0
2022-10-18,110.0
2022-10-17,110.0
2022-10-16,110.0
2022-10-15,110.0
2022-10-14,110.0
2022-10-13,110.0
2022-10-12,110.0
2022-10-11,110.0
2022-10-10,110.0
2022-10-09,110.0
2022-10-08,110.0
2022-10-07,110.0
2022-10-06,110.0
2022-10-05,110.0
2022-10-04,110.0
2022-10-03,110.0
2022-10-02,110.0
2022-10-01,110.0
2022-09-30,130.0
2022-09-29,130.0
2022-09-28,130.0
2022-09-27,130.0
2022-09-26,130.0
2022-09-25,130.0
2022-09-24,130.0
2022-09-23,160.0
2022-09-22,160.0
2022-09-21,160.0
2022-09-20,160.0
2022-09-19,160.0
2022-09-18,160.0
2022-09-17,160.0
2022-09-16,160.0
2022-09-15,160.0
2022-09-14,160.0
2022-09-13,160.0
2022-09-12,160.0
2022-09-11,160.0
2022-09-10,160.0
2022-09-09,105.0
2022-09-08,80.0
2022-09-07,80.0
2022-09-06,80.0
2022-09-05,90.0
2022-09-04,160.0
2022-09-03,160.0
2022-09-02,160.0
2022-09-01,160.0
2022-08-31,160.0
2022-08-30,160.0
2022-08-29,160.0
2022-08-28,160.0
2022-08-27,160.0
2022-08-26,160.0
2022-08-25,160.0
2022-08-24,160.0
2022-08-23,160.0
2022-08-22,160.0
2022-08-21,160.0
2022-08-20,160.0
2022-08-19,160.0
2022-08-18,160.0
2022-08-17,160.0
2022-08-16,160.0
2022-08-15,160.0
2022-08-14,160.0
2022-08-13,160.0
2022-08-12,160.0
2022-08-11,160.0
2022-08-10,160.0
2022-08-09,160.0
2022-08-08,160.0
2022-08-07,160.0
2022-08-06,160.0
2022-08-05,160.0
2022-08-04,160.0
2022-08-03,160.0
2022-08-02,160.0
2022-08-01,160.0
2022-07-31,160.0
2022-07-30,160.0
2022-07-29,160.0
2022-07-28,160.0
2022-07-27,160.0
2022-07-26,160.0
2022-07-25,160.0
2022-07-24,160.0
2022-07-23,160.0
2022-07-22,160.0
2022-07-21,160.0
2022-07-20,160.0
2022-07-19,160.0
2022-07-18,160.0
2022-07-17,160.0
2022-07-16,160.0
2022-07-15,160.0
2022-07-14,160.0
2022-07-13,160.0
2022-07-12,160.0
2022-07-11,160.0
2022-07-10,160.0
2022-07-09,160.0
2022-07-08,160.0
2022-07-07,160.0
2022-07-06,160.0
2022-07-05,160.0
2022-07-04,160.0
2022-07-03,160.0
2022-07-02,160.0
2022-07-01,160.0
2022-06-30,160.0
2022-06-29,160.0
2022-06-28,160.0
2022-06-27,160.0
2022-06-26,160.0
2022-06-25,160.0
2022-06-24,160.0
2022-06-23,160.0
2022-06-22,160.0
2022-06-21,160.0
2022-06-20,160.0
2022-06-19,160.0
2022-06-18,160.0
2022-06-17,160.0
2022-06-16,160.0
2022-06-15,160.0
2022-06-14,160.0
2022-06-13,160.0
2022-06-12,160.0
2022-06-11,160.0
2022-06-10,160.0
2022-06-09,160.0
2022-06-08,160.0
2022-06-07,160.0
2022-06-06,160.0
2022-06-05,160.0
2022-06-04,160.0
2022-06-03,160.0
2022-06-02,160.0
2022-06-01,160.0
2022-05-31,160.0
2022-05-30,160.0
2022-05-29,160.0
2022-05-28,160.0
2022-05-27,160.0
2022-05-26,160.0
2022-05-25,160.0
2022-05-24,160.0
2022-05-23,160.0
